IOU_THRESHOLD,FRAME_PROPORTION,TP,FP,MP,TN,FN,MN
0.1,0.1,1317,1128,1224,4371,99,1086
0.1,0.2,1250,1085,1291,4371,99,1086
0.1,0.3,1227,1056,1314,4371,99,1086
0.1,0.4,1164,1008,1377,4371,99,1086
0.1,0.5,1128,985,1413,4371,99,1086
0.1,0.6,1082,939,1459,4371,99,1086
0.1,0.7,1024,891,1517,4371,99,1086
0.2,0.1,763,571,1778,5083,157,374
0.2,0.2,679,517,1862,5083,157,374
0.2,0.3,652,488,1889,5083,157,374
0.2,0.4,596,457,1945,5083,157,374
0.2,0.5,575,430,1966,5083,157,374
0.2,0.6,529,394,2012,5083,157,374
0.2,0.7,479,358,2062,5083,157,374
0.3,0.1,338,248,2203,5343,183,114
0.3,0.2,278,197,2263,5343,183,114
0.3,0.3,258,183,2283,5343,183,114
0.3,0.4,230,157,2311,5343,183,114
0.3,0.5,206,147,2335,5343,183,114
0.3,0.6,179,133,2362,5343,183,114
0.3,0.7,156,112,2385,5343,183,114
0.4,0.1,128,78,2413,5427,196,30
0.4,0.2,95,49,2446,5427,196,30
0.4,0.3,82,45,2459,5427,196,30
0.4,0.4,63,39,2478,5427,196,30
0.4,0.5,56,37,2485,5427,196,30
0.4,0.6,50,30,2491,5427,196,30
0.4,0.7,41,24,2500,5427,196,30
0.5,0.1,17,2,2524,5456,204,1
0.5,0.2,3,0,2538,5456,204,1
0.5,0.3,2,0,2539,5456,204,1
0.5,0.4,0,0,2541,5456,204,1
0.5,0.5,0,0,2541,5456,204,1
0.5,0.6,0,0,2541,5456,204,1
0.5,0.7,0,0,2541,5456,204,1
0.6,0.1,4,1,2537,5457,204,0
0.6,0.2,0,0,2541,5457,204,0
0.6,0.3,0,0,2541,5457,204,0
0.6,0.4,0,0,2541,5457,204,0
0.6,0.5,0,0,2541,5457,204,0
0.6,0.6,0,0,2541,5457,204,0
0.6,0.7,0,0,2541,5457,204,0
0.7,0.1,0,0,2541,5457,205,0
0.7,0.2,0,0,2541,5457,205,0
0.7,0.3,0,0,2541,5457,205,0
0.7,0.4,0,0,2541,5457,205,0
0.7,0.5,0,0,2541,5457,205,0
0.7,0.6,0,0,2541,5457,205,0
0.7,0.7,0,0,2541,5457,205,0
